null
15
1|In Rainbows|Radiohead|10.8.2007|XL|LP|Musta|
14|Madvillainy|Madvillain|2004|Stones Throw|LP|Musta|testi
15|Station to Station|David Bowie|23.1.1976|RCA Records|LP|Musta|
16|Unknown Pleasures|Joy Division|15.6.1979|Factory|LP|Punainen|
